2025-11-17 21:58:20 | init | 
2025-11-17 21:58:26 | unlimitedControlled | 
2025-11-17 21:58:38 | limited | 10000 W
2025-11-17 21:58:58 | limited | 10000 W
2025-11-17 21:59:00 | limited | 10000 W
2025-11-17 21:59:02 | limited | 10000 W
2025-11-17 21:59:04 | limited | 10000 W
2025-11-17 21:59:06 | limited | 10000 W
2025-11-17 21:59:08 | limited | 10000 W
2025-11-17 21:59:10 | limited | 10000 W
2025-11-17 21:59:12 | limited | 10000 W
2025-11-17 21:59:13 | limited | 10000 W
2025-11-17 22:01:54 | init | 
2025-11-17 22:02:00 | unlimitedControlled | 
2025-11-17 22:02:23 | init | 
2025-11-17 22:02:33 | unlimitedControlled | 
2025-11-17 22:03:48 | failsafe | 4200 W
2025-11-17 22:19:07 | init | 
2025-11-17 22:19:12 | unlimitedControlled | 
2025-11-17 22:20:12 | limited | 10000 W
2025-11-17 22:20:13 | limited | 10000 W
2025-11-17 22:20:14 | limited | 10000 W
2025-11-17 22:20:15 | limited | 10000 W
2025-11-17 22:20:16 | limited | 10000 W
2025-11-17 22:20:17 | limited | 10000 W
2025-11-17 22:20:18 | limited | 10000 W
2025-11-17 22:20:19 | limited | 10000 W
2025-11-17 22:20:20 | limited | 10000 W
2025-11-17 22:20:21 | limited | 10000 W
2025-11-17 22:31:12 | init | 
2025-11-17 22:31:17 | unlimitedControlled | 
2025-11-17 22:31:18 | unlimitedControlled | 
2025-11-17 22:31:41 | limited | 10000 W
2025-11-17 22:32:00 | unlimitedControlled | 
2025-11-17 22:32:11 | limited | 10000 W
2025-11-17 22:32:31 | unlimitedControlled | 
